name,state,address,address2,city,county,country,lat,lng
Dunkin Donuts,NY,602 Plank Rd,,Clifton Park,,US,42.862741,-73.778733
Dunkin Donuts,PA,402 E. High St,,Carlisle,,US,40.200450,-77.180053
Dunkin Donuts,NY,232 Delaware Ave,,Delmar,,US,42.627141,-73.818755
Dunkin Donuts,NY,1752B Route 9,Parkwood Plaza,Clifton Park,,US,42.871739,-73.774136
Dunkin Donuts,NY,1040 Central Ave,,Albany,,US,42.685175,-73.797419
Dunkin Donuts,NY,3853 Main St,,Stone Ridge,,US,41.844074,-74.147710
Dunkin Donuts,NY,601 New Scotland Ave,,Albany,,US,42.657146,-73.802948
Dunkin Donuts,NY,1532 Crescent Rd,,Clifton Park,,US,42.818554,-73.771801
Dunkin Donuts,NY,600 Lake Flower Avenue,Saranac Lake Plaza,Saranac Lake,,US,44.311440,-74.116671
Dunkin Donuts,NY,3014 Route 50,,Saratoga Springs,,US,43.100061,-73.748503
Dunkin Donuts,NY,2580 Route 302,,Middletown,,US,41.494100,-74.403630
Dunkin Donuts,NY,1066 Madison Av,,Albany,,US,42.665352,-73.790543
Dunkin Donuts,NY,650 Troy Schenectady Rd,,Latham,,US,42.754395,-73.772453
Dunkin Donuts,NY,677 Central Ave,,Albany,,US,42.675937,-73.785168
Dunkin Donuts,NY,457 Albany Shaker Rd,,Albany,,US,42.705415,-73.776314
Dunkin Donuts,NY,311 Route 9w,Wal*Mart #3583,Glenmont,,US,42.608941,-73.792463
Dunkin Donuts,NY,1530 Route 9,,Clifton Park,,US,42.842550,-73.747425
Dunkin Donuts,NY,667 New Loudon Rd,,Latham,,US,42.737933,-73.762472
Dunkin Donuts,NY,688 New Loudon Rd,,Latham,,US,42.737930,-73.762446
Dunkin Donuts,NY,890 New Loudon Rd,,Latham,,US,42.756331,-73.758533
Dunkin Donuts,NY,3624 State Route 9,,Lake George,,US,43.487778,-73.757907
Dunkin Donuts,PA,1825 Pa Route 309,,Allentown,,US,40.613046,-75.571491
Dunkin Donuts,NY,2381 US Route 9W,,Ravena,,US,42.473490,-73.818901
